,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
142,144088547.8113498,-77.488464274332,85.69432515723771,-0.10406557,other,579365.8844263044,9523832.866075972,1255.673568818514,ice
143,144088547.8120492,-77.48873656316769,85.69428545140897,-0.050319843,other,579364.3636193977,9523828.117323477,1255.6184531059682,ice
144,144088547.81308472,-77.48913960129029,85.69422665513622,0.01620977,other,579362.1129092433,9523821.085621703,1255.563337393423,ice
145,144088547.81403926,-77.4895109882579,85.69417244824133,0.060687512,other,579360.0393812931,9523814.603055809,1255.5082216808769,ice
146,144088547.81517142,-77.48995128485123,85.69410817145905,0.16187088,other,579357.5812330429,9523806.916361332,1255.453105968331,ice
147,144088547.81605488,-77.49029475907942,85.6940580215472,0.22087733,other,579355.6637021202,9523800.919143105,1255.3979902557855,ice
148,144088547.81721082,-77.49074407030915,85.69399238819446,0.29199392,other,579353.1557650368,9523793.070621716,1255.34287454324,ice
149,144088547.818163,-77.49111403018155,85.69393833993377,0.39112028,other,579351.0907717317,9523786.607526928,1255.2877588306942,ice
150,144088547.8188817,-77.49139330502808,85.69389755857325,-0.07870655,other,579349.5315584589,9523781.73071848,1255.2326431181486,ice
151,144088547.81961355,-77.49167753967586,85.69385604226538,-0.08461939,other,579347.944804017,9523776.766127065,1255.1775274056029,pond
152,144088547.8201819,-77.49189828953887,85.69382379489569,-0.11465196,other,579346.712495264,9523772.909970645,1255.1224116930573,pond
153,144088547.82069713,-77.49209821469006,85.69379458169105,-0.11510447,specular_lead_low_w_bkg,579345.5965591634,9523769.416718297,1255.0672959805115,ice
154,144088547.8212023,-77.49229422188026,85.69376592751676,-0.11293247,other,579344.5027171761,9523765.990442831,1255.012180267966,ice
155,144088547.82194513,-77.49258230633549,85.69372380122448,-0.08337323,other,579342.895195629,9523760.95337237,1254.95706455542,ice
156,144088547.82275578,-77.49289656687891,85.69367785676107,-0.01848148,other,579341.1413799084,9523755.459675288,1254.9019488428746,ice
157,144088547.82380304,-77.4933024852011,85.69361851538558,-0.01781339,other,579338.8758964806,9523748.364051102,1254.8468331303288,ice
158,144088547.8245426,-77.49358910374866,85.69357662595462,-0.070579365,other,579337.2759719752,9523743.355104456,1254.7917174177833,pond
159,144088547.8252637,-77.49386858633805,85.69353578700054,-0.08812861,other,579335.7156957185,9523738.471701683,1254.7366017052375,pond
160,144088547.82595715,-77.49413706439493,85.69349654637858,-0.10031231,other,579334.216989948,9523733.779518086,1254.681485992692,pond
